,Stage,Age,CA-125,ctDNA tMAD,ctDNA TP53 MAF,ctDNA TP53 status
Mean volume,0.0307553180765379,0.257502193780553,0.13187961375663498,0.03332314970024053,0.02973919328488609,0.11358148054753536
Max volume,0.19648278593380678,0.03531326144515655,0.4519027278195033,0.04840374486185275,0.09050669342263305,0.13435376115715547
Total volume,0.26102566546048583,0.07919795470079447,0.44787675355928125,0.09675256512114461,0.13212786255266729,0.16892058173100152
Omentum volume,0.0034476497651954375,0.10170653455577462,0.30900826957138017,0.09470800478057365,0.12790417923334993,0.09432885753992704
RUQ volume,0.26148275501449225,0.08827106724057229,0.02182676578208182,0.20126418729389658,0.2688495512266925,0.05192807385292382
Epigastrium volume,0.16005323435772345,0.07368138500672831,0.03067138919196048,0.018605004716931977,0.06367210324343944,0.17296689614791927
Mesentery volume,0.2744898411293892,0.08899717407907895,0.11625015860958726,0.07509690709346753,0.031921006553431094,0.09298244174923184
Left paracolic gutter volume,0.20603010877603875,0.1901377242843768,0.09975373976562349,0.04464934624025669,0.05639462442636036,0.0966008084266447
Right paracolic gutter volume,0.2706868808809654,0.09126675572037869,0.053487117634462775,0.3436301671361374,0.3417713403608794,0.0840432798749447
POD volume,0.24776855832240352,0.2279849888848818,0.36080827569683843,0.11445669241273065,0.18404581893548402,0.30152882575692447
LN abdomen infrarenal volume,0.3082683858474079,0.003983111825091538,0.017179598348697703,0.32410474498996145,0.2873776074455451,0.14408768545842165
LN abdomen suprarenal volume,0.31630633255310153,0.09544826242317837,0.0170305266817162,0.3400288228731027,0.3062318427076977,0.19376963646278647
LN supradiaphragmatic volume,0.3099663306278729,0.09229778066279527,0.01800963068200654,0.024734438200124154,0.0038571401045020435,0.028805505619354046
Omentum num.,0.05877531459512697,0.1290349397315414,0.18454024745814246,0.08224019521784516,0.06289230098315199,0.06935200942053839
RUQ num.,0.20944792405466459,0.13364892760338032,0.14923629586452222,0.2521450571805548,0.25463219515753194,0.06374955683169953
LUQ num.,0.11653782442308418,0.06079244536092921,0.20414458779502825,0.17948408677377203,0.1356219960804901,0.01742016167348207
Epigastrium num.,0.22661083453457598,0.033386248879434914,0.08472818400343113,0.054004178280779934,0.022122145007219738,0.06899298131898965
Mesentery num.,0.1667755554741283,0.03263800293388565,0.1913585904713018,0.14974670425293407,0.1695200858533718,0.21992474017124233
Left paracolic gutter num.,0.01695242054434418,0.049760973737052495,0.025134127203984856,0.0729522673619891,0.1037339780703445,0.18985061889889274
Right paracolic gutter num.,0.024920519530685314,0.1589957575593263,0.009767044139386224,0.0037879916390093533,0.048879585457783016,0.042074453508991104
POD num.,0.06896669989226399,0.14621167321719883,0.135998702606504,0.18602820711696527,0.17901058606401618,0.14154923965867605
Abd. wall num.,0.030890468563392105,0.09112519008735162,0.006515475375487711,0.12622753202524994,0.11161196922130895,0.02370626893233398
LN abdomen infrarenal num.,0.30194732772176375,0.018997514919259058,0.032090966317531944,0.2522905076146772,0.2218246131175604,0.0680225059585446
LN abdomen suprarenal num.,0.3595862172214864,0.05711863212232416,0.002299865359254344,0.36392186226387735,0.34724881191843915,0.2928190949693639
LN supradiaphragmatic num.,0.17341283985550862,0.04329419982038334,0.007531292245978976,0.02798767187712925,0.03661961215523693,0.06459288481836617
LN inguinal num.,0.3656725417619704,0.028522860540798733,0.16568099897132066,0.020644367799806034,0.00379121394842931,0.10994468376554434
Num. lesions vol.>0,0.2439116768797512,0.07735333672863758,0.22407330453953025,0.1742949352395528,0.17149861292118007,0.03422973063061538
Num. lesions vol.>1,0.44335150251375627,0.1057955170266846,0.12808223877821978,0.3286825155958336,0.31470066038557715,0.13576204964634367
Num. lesions vol.>10,0.3893692789149863,0.1117162734925181,0.16472021984288643,0.4883422198321338,0.4746039279924583,0.3025837018259631
Num. lesions vol.>100,0.2163430441189806,0.16138573639406478,0.3351756705753875,0.1035177017276152,0.11499267411580118,0.21915711686273984
RECIST summed diameter ,0.2552786097906954,0.05025306576379788,0.36299351531870877,0.3124875125080833,0.35966799777139236,0.3540702415753823
Ascites ,0.0942735927690726,0.15762914018738405,0.21924200698512128,0.03752867714194941,0.0001949922437746229,0.08426457567329397
Pleural effusion ,0.3862151528153723,0.07313365454882641,0.20763194696444068,0.2460745193702824,0.19832952240127902,0.0812918876773381
Pleural thickening enhancement ,0.05651442618918993,0.18653065061859275,0.1426108065403159,0.025230696097500855,0.0451173202327482,0.18023001800700636
Omentum hyperdense,0.05451593921326564,0.013507918886919643,0.21218591926091165,0.20352516845557678,0.21069180925282419,0.17650360051934788
Omentum hypodense,0.06216269732282296,0.014012161768524364,0.18586779910028287,0.017527332691559837,0.039806310597029174,0.0749658046506634
POD hyperdense,0.10640017319112671,0.058904550983564445,0.00388321205795545,0.020438966700501816,0.008707571101140373,0.005848753346799247
POD hypodense,0.0062793806876884515,0.23477876348067653,0.2044510142712093,0.08174434197709837,0.13005273019044628,0.010601765765117784
Compactness1 ,0.3968896694574574,0.10257263965687811,0.15098797321692542,0.2990919547242144,0.34344298285918595,0.31226581522032393
Compactness2 ,0.3883951167042638,0.09483558576457989,0.11604918582803997,0.32026177824756913,0.3598930747063815,0.2930393112390724
HU>0 ,0.07592716854493872,0.18256173211672336,0.33654552739286997,0.04307126961336066,0.03096984906485444,0.06590298886259184
HU>10 ,0.07688159710397877,0.17279776175059242,0.3367836284394654,0.04351161935543467,0.031558644275380035,0.05851200900995537
HU>20 ,0.07971364725287108,0.1538233670187891,0.3392908413007748,0.0435276608910952,0.03201314307803183,0.04590172707107305
HU>30 ,0.08479718760386777,0.13126736549778423,0.3380153691044664,0.04271800768151705,0.03208947654992351,0.0333628860872881
HU>40 ,0.09300827006508915,0.11843332044953914,0.3190006595093991,0.04162088071154234,0.032247811823540806,0.02978604341338378
HU>50 ,0.1040701081275452,0.11628727219392114,0.27095302825063083,0.04011351490612976,0.031565044947298414,0.03773827570279444
HU>-10 ,0.0761440542211396,0.1858589954150171,0.3374492264123965,0.04279170564490432,0.030647932639755685,0.06853605990061318
P10 (intensity) ,0.16768540647860145,0.021689849648689828,0.015369570295512816,0.10909202419792859,0.10890987791189727,0.18306984684282812
P90 (intensity) ,0.09700434124160445,0.04397395773909535,0.18856752779219238,0.05140405922670753,0.07000848634081078,0.12112805335705909
Autocorr. (texture) ,0.13337153723056291,0.05468766684658864,0.15695924557896218,0.014847639221507407,0.029567720985420966,0.06023840270097178
Coeff. var. (intensity) ,0.12937974740144456,0.07412004141251632,0.0025990585492292363,0.03673704444294081,0.05403799223777166,0.0952292634267594
Elongation ,0.04231228546243596,0.12877894988830912,0.054033841791678916,0.020324618212080276,0.08724454711150553,0.16385763479378665
Filled volume ,0.07790332982267939,0.1863206436703506,0.33840118109272255,0.0434432848042982,0.03137484657538552,0.06782631513922682
Flatness ,0.24669098379224433,0.14648638754783666,0.08654153496192986,0.25743360119983805,0.3098892876905757,0.246435462940882
Interquartile range (intensity) ,0.031880566684913604,0.0881498194016065,0.225193729267632,0.16541080862886187,0.1893451602183946,0.33285665736515435
Joint avg. (texture) ,0.1407222230706431,0.03427923726310008,0.13264523875195097,0.020125130411591634,0.006907370173543497,0.00020235571064001698
Kurtosis (intensity) ,0.10952546016996229,0.12827696231458627,0.10191513214141754,0.03385073978010721,0.03910480366371304,0.07055214857874392
Least axis ,0.15519629912998695,0.11779304288440345,0.36246188318795236,0.04366855832716046,0.04725355276161466,0.011727319087608804
Major axis ,0.2809504186138051,0.022004809091789892,0.33532180574670467,0.14766771268865053,0.17681021596490595,0.09216491072710165
Mean abs. dev. (intensity) ,0.013850981045623807,0.06653833938045725,0.23041960313813514,0.16125770048865515,0.1831734395153588,0.2992254562278522
Mean (intensity) ,0.13788717203490633,0.026351504683391615,0.12793783555371688,0.02518717087863088,0.01206958613438592,0.009391599167655171
Median abs. dev. (intensity) ,0.023608185831342804,0.07086331088397987,0.23247896260722847,0.16329191311747543,0.1858400704317434,0.3082864656124942
Median (intensity) ,0.13798813850125496,0.04155952509059912,0.11158841111744108,0.04654613893825453,0.033611342212753005,0.022950815538319902
Minor axis ,0.22885856549758993,0.16885122436440034,0.32402684728109404,0.1176119698532235,0.1222761554169091,0.013563378091329558
RMS (intensity) ,0.13822240415339596,0.027339812295671822,0.13085626411163892,0.02201938446631327,0.008642621186657906,0.004185911216670629
Robust mean abs. dev. (intensity) ,0.02735258088912153,0.0860402883637638,0.22478612801703476,0.16329505100482866,0.18662768742101138,0.3257656206335652
Robust median abs. dev. (intensity) ,0.031346723281146925,0.08802880486217114,0.22529531391787405,0.1639202683127611,0.1874192193720011,0.3280246377739793
Skewness (intensity) ,0.12544946560262474,0.1145124425001897,0.1788650660688087,0.11421274122335119,0.12846715920361615,0.02146023278749754
Spherical disprop. ,0.3630610954439535,0.0954978667632674,0.2538281297814578,0.22384284646639732,0.27393346721847134,0.2844551963277839
Sphericity ,0.39571204101137136,0.10388039723063344,0.16793222847772582,0.28821380925183643,0.3338931874448425,0.31357653315850337
Std. dev. (intensity) ,0.014208656714488281,0.04705912621390906,0.23566914028963015,0.15889238951900325,0.17976655225811522,0.2752107841477937
Sum avg. (texture) ,0.1407223269259586,0.03427937620133794,0.1326452465237583,0.020125041740336483,0.006907290077926602,0.00020257592398013376
Sum entropy (texture) ,0.14450093362386682,0.06316684757285194,0.24653745527627288,0.17824296885773555,0.20271364915539006,0.3364920723571551
Surface area ,0.15239649860159862,0.10633373232006225,0.4276844393492666,0.08184870100172977,0.09026997238329794,0.033599286593345594
Surface to vol. ratio ,0.04055492553778977,0.17063022082144466,0.10661429053074853,0.13076029926258234,0.13732627796073565,0.21740582742033754
Total energy (intensity) ,0.07922941149408655,0.18467188033251122,0.3318974264887515,0.04370637707162157,0.031685238861669116,0.06681876433892314
Volume ,0.07790332982267939,0.1863206436703506,0.33840118109272255,0.0434432848042982,0.03137484657538552,0.06782631513922682
HU>0 rim ratio,0.08206043209947063,0.24030182065302658,0.09638762169437307,0.0028530524537385394,0.028168001207082606,0.17078252189398038
HU>10 rim ratio,0.07801801916809949,0.23134577301444492,0.10475917757939993,0.004847592536611677,0.027690951420435615,0.1672116399968942
HU>20 rim ratio,0.07321422113279942,0.213161631577806,0.11665130247152969,0.008725736737795666,0.02597306972188832,0.1602546017992048
HU>30 rim ratio,0.06987280256527985,0.19076021965870454,0.12896088892223198,0.015089809311061643,0.022420868903911612,0.15255426643317402
HU>40 rim ratio,0.06887006248758001,0.17091883625091614,0.13732830680267913,0.024703107263164423,0.013633631159545433,0.14507008140832864
HU>50 rim ratio,0.07760862810497669,0.16836396912802615,0.1318953986183672,0.03613597416692173,0.0007577076297960284,0.1420536121058229
HU>-10 rim ratio,0.08454853634434246,0.2431609367790559,0.0910014911326628,0.002854922796822836,0.02730911501552642,0.17180940015628904
P90 (intensity) rim ratio,0.09214775876910943,0.11270465280109812,0.05084705805942167,0.176269934514307,0.17244510518523584,0.02856021602759072
Autocorr. (texture) rim ratio,0.04868185108247471,0.040278755559050465,0.07111358068292209,0.12583359835575392,0.1349119509635817,0.06883643792863516
Cluster tendency (texture) rim ratio,0.10520706946681324,0.23938137847892182,0.11320037100277083,0.1511971097770719,0.1581907253956315,0.08375035191022129
Coeff. var. (intensity) rim ratio,0.08192549803204999,0.2744408224794374,0.1429684129954278,0.0882237619901225,0.11397030265854396,0.06416699045042047
Contrast (texture) rim ratio,0.13023181812941254,0.1801794325093083,0.16470590446988193,0.21191626586625886,0.2415291276382073,0.07869039035508531
Corr (texture) rim ratio,0.020779833887351253,0.04644752912928521,0.09644077394653817,0.11684933495899519,0.12028152853379763,0.07051300930445169
Diff. avg. (texture) rim ratio,0.10994446036036372,0.14216861044497847,0.11948829674433556,0.20791377043677797,0.23923021636540348,0.11387316647556853
Diff. entropy (texture) rim ratio,0.11020467456300606,0.14557588647346642,0.12664708620128157,0.21154319960342946,0.24418543358707442,0.13387826191809313
Diff. var. (texture) rim ratio,0.1308636434957823,0.20366270821392254,0.18355009792525395,0.20192128442306884,0.230147934717439,0.05122522138844091
Dissimilarity (texture) rim ratio,0.1099444460523295,0.14216907423801992,0.11948817024364282,0.20791376129833872,0.23923026678546225,0.11387317685263629
Energy (texture) rim ratio,0.03758904660676655,0.01837181324837858,0.012334941315176822,0.21590940828093938,0.2316035276596447,0.09237357210913377
Energy (intensity) rim ratio,0.08681912104908025,0.24114191371583135,0.08670230338968449,0.007258785939058012,0.021676776961633334,0.17022328467612177
Information Corr. 1 (texture) rim ratio,0.0039991518495714464,0.010312934318995616,0.08417979454828467,0.12748787755993218,0.1296573009126484,0.0654675414709717
Haralick corr. (texture) rim ratio,0.06538564240413525,0.0324923225763492,0.07912038056362915,0.20613523885251273,0.21700421387229568,0.05983169864683353
Interquartile range (intensity) rim ratio,0.01889632414996432,0.11685177219477416,0.017104674919565983,0.2523192707777138,0.25673726575520134,0.0710000166095352
Inverse diff. moment norm. (texture) rim ratio,0.1461417125903722,0.16663953895862801,0.1295366864300233,0.1562894922221961,0.18782739428996886,0.02950639438483874
Inverse diff. moment (texture) rim ratio,0.09566305342072336,0.09005837227304252,0.0899832802874772,0.18058520207521345,0.21392317925290852,0.0743419677477234
Inverse diff. norm. (texture) rim ratio,0.11410942409526646,0.12260904164433972,0.12758832328547484,0.19281545724108562,0.22841156744368885,0.05552881879032971
Inverse diff. (texture) rim ratio,0.09230253177914229,0.10029136936718902,0.09007164341720826,0.18621232022477766,0.21837724569762418,0.08400886255687524
Inverse var. (texture) rim ratio,0.17037604428076603,0.03498360747770445,0.1169038725422753,0.08345357305110068,0.1258515579406812,0.03483220584275539
Joint avg. (texture) rim ratio,0.03208005008130999,0.10601119699763781,0.04928992865116832,0.11154335661711455,0.12106705348257778,0.09628304172254194
Joint entropy (texture) rim ratio,0.07068643890511105,0.12326508758312547,0.08132034390556356,0.22198198417028417,0.24250435774601606,0.07210932469691238
Joint max. (texture) rim ratio,0.005492641925735472,0.020695274297426878,0.03895190767520338,0.2200514032091376,0.23451905355760222,0.11462532737200166
Joint var. (texture) rim ratio,0.10846295240702179,0.24776771798433195,0.12046500753600196,0.15218720357724017,0.16007530319314045,0.07876916897125892
Max (intensity) rim ratio,0.1354616810073969,0.26793344938048547,0.12942654112723892,0.08033417872612789,0.08933899355443997,0.08335592713559938
Mean abs. dev. (intensity) rim ratio,0.08285511853256881,0.22818240728808545,0.1015493495369757,0.1819368083488072,0.19317892238462972,0.04676646892720575
Mean (intensity) rim ratio,0.028798282362584464,0.10450850475724421,0.1125778697201812,0.07634338415013914,0.04021978668685338,4.362717631042934e-06
Median abs. dev. (intensity) rim ratio,0.07870250517664287,0.21215469041726714,0.09759462720981235,0.1903245216567622,0.2021710269677953,0.03313218146560599
Range (intensity) rim ratio,0.12795260514704654,0.2601757275926616,0.1192347527725795,0.09598695700826053,0.10634271020505141,0.08728387629545922
RMS (intensity) rim ratio,0.04680918843663697,0.09698599939120821,0.07696538338115542,0.11901428706410465,0.13732403429612614,0.11618629067057236
Robust mean abs. dev. (intensity) rim ratio,0.042674895040218166,0.13336928022312697,0.015405307623121537,0.20075115742415034,0.20806629251924708,0.012411734012917827
Robust median abs. dev. (intensity) rim ratio,0.039951353792908866,0.12415951687290458,0.011971894595566964,0.2018531468953285,0.20892131961182384,0.017527315105517957
Information Corr. 2 (texture) rim ratio,0.02639261967259602,0.008178430678481253,0.14146156018770126,0.09900346015318995,0.10871046692466288,0.04707658238970082
Std. dev. (intensity) rim ratio,0.09582986570322531,0.25008877319392125,0.12028066034987124,0.15995983153761198,0.17162235015150062,0.06378609952726193
Sum avg. (texture) rim ratio,0.03207502881489652,0.10601299503666418,0.049288303434241974,0.11154423240042159,0.12106819228735677,0.09628423755944132
Sum entropy (texture) rim ratio,0.05505462641204696,0.11031176122460924,0.0648735061076601,0.21311209419105395,0.2284534326429198,0.027321158509380827
Sum var. (texture) rim ratio,0.10520708506552691,0.23938128509453005,0.11320038314716108,0.15119706431241675,0.15819066951732566,0.08375035789926344
Total energy (intensity) rim ratio,0.08681912104908013,0.24114191371583185,0.08670230338968427,0.007258785939057574,0.021676776961633618,0.1702232846761218
Var (intensity) rim ratio,0.10459421835247114,0.25330324547090266,0.12407127917990664,0.14577309087949541,0.15431775312517457,0.0847388691540191
HU>0 buffer ratio,0.12033338672650312,0.02655121010042965,0.010349465087630308,0.004935031747048319,0.027867014345538968,0.08411503975851797
HU>-10 buffer ratio,0.030187048157915213,0.06034508669869799,0.0011927294171523177,0.01510970112990476,0.017136687308769775,0.04072335116080109
Autocorr. (texture) buffer ratio,0.14652088652394518,0.19667419768561725,0.14253370188285744,0.14061301159490391,0.1584117509310566,0.23460092042280364
Cluster prominence (texture) buffer ratio,0.08769389215593958,0.050140206454347545,0.15800781580567264,0.10254556808039206,0.11674354585547937,0.12111603650121938
Cluster shade (texture) buffer ratio,0.0029859534768454698,0.11193514954683373,0.19896969384855218,0.08362259562054006,0.09776733032716432,0.09115869442524044
Cluster tendency (texture) buffer ratio,0.07430632223926822,0.02296098711479366,0.13889815430313412,0.17293404452837058,0.18351301723168506,0.1858626323877424
Coeff. var. (intensity) buffer ratio,0.13188136704067563,0.033859317742093976,0.013400859606529257,0.011445071501975723,0.027108371917542128,0.01821745234822019
Contrast (texture) buffer ratio,0.016095527049379867,0.12681300337858525,0.07184477354277888,0.22136275332915595,0.23693549374532816,0.25934165685940874
Diff. avg. (texture) buffer ratio,0.0603485699622273,0.07830773644893049,0.03864080513051163,0.23897436433954292,0.2572092598356197,0.26792510370112055
Diff. entropy (texture) buffer ratio,0.09681952419862488,0.055262112198251695,0.033236649847399845,0.24540326660183864,0.26495248835958285,0.27201804231494614
Diff. var. (texture) buffer ratio,0.03065125905584719,0.13528664864090875,0.08525958293414025,0.22300363617837185,0.2398785468134807,0.25001401886730396
Dissimilarity (texture) buffer ratio,0.06034856654229788,0.07830778230622526,0.03864084274665401,0.23897438658598866,0.25720928835620316,0.2679251122290369
Energy (texture) buffer ratio,0.17435342031574472,0.18306358113372723,0.014341201661899942,0.15940172554176585,0.17797664197452823,0.17235050194589688
Energy (intensity) buffer ratio,0.09792527699200708,0.1571586286332067,0.07331032853531608,0.01222931563570307,0.02151730692343427,0.1420994189361516
Interquartile range (intensity) buffer ratio,0.0380467955452684,0.1396698495022912,0.04773644975019609,0.1680412414678452,0.1786737086630494,0.15235993891960456
Inverse diff. moment norm. (texture) buffer ratio,0.05547056672357837,0.18432683720659726,0.0392445088615182,0.26167445117470967,0.2491747438237362,0.22740185761907872
Inverse diff. moment (texture) buffer ratio,0.1311628971497831,0.039648212562276235,0.020319859707383467,0.17721944876053475,0.21765045665769667,0.21690114189552015
Inverse diff. norm. (texture) buffer ratio,0.03761671931256411,0.06708471320231187,0.006110517449785338,0.2410837799447255,0.26980393202879344,0.24000369128540686
Inverse diff. (texture) buffer ratio,0.12793100559424717,0.03026721149168383,0.019366762414734975,0.18608494307548287,0.22243122455197545,0.2267235881762979
Inverse var. (texture) buffer ratio,0.06792974595563146,0.013412039939819058,0.043224991480940396,0.14686098140484338,0.2067215986542176,0.14118578489987724
Joint avg. (texture) buffer ratio,0.11943804568626891,0.25098404011932657,0.15423561928617402,0.1469090662210331,0.16436264641275497,0.26751239622954837
Joint entropy (texture) buffer ratio,0.12717737000676205,0.038647676031929104,0.1021876045803919,0.2262638524136134,0.2372918191227536,0.2684442383051391
Joint max. (texture) buffer ratio,0.13301744470725624,0.18123259449114743,0.046777129984038344,0.12954640073756785,0.13637791835860133,0.13556629526372885
Joint var. (texture) buffer ratio,0.06627891681725212,0.026185703982925523,0.13516639632253102,0.18405688301571133,0.194723293609591,0.19375982825525756
Kurtosis (intensity) buffer ratio,0.0013421312659412665,0.1119747738383851,0.14327654627629652,0.06758401904437741,0.08043663999730352,0.11914694294549284
Max (intensity) buffer ratio,0.0755224663521137,0.10098877549283128,0.15866162657767366,0.1629305446283477,0.1705084090566838,0.09703044103074764
Mean abs. dev. (intensity) buffer ratio,0.014521340413491153,0.04426208574513967,0.08716182322541353,0.24040952490938639,0.24724499790212467,0.20062396573438102
Mean (intensity) buffer ratio,0.10790504860358621,0.15762998563641753,0.26053315557005363,0.019534242345093614,0.0076365088129918355,0.054422621755188486
Median abs. dev. (intensity) buffer ratio,0.020118251379032528,0.05012738272695225,0.08561375924285583,0.23455836588522933,0.24174870346633742,0.20277100941480297
Min (intensity) buffer ratio,0.26559040444304327,0.15349446103383727,0.03759555050481971,0.16026305207925381,0.1544134719154432,0.2981165075969725
Range (intensity) buffer ratio,0.05392285094077266,0.19492599147578338,0.1928226440939297,0.21748469626015984,0.22262227532126205,0.21989372520669656
RMS (intensity) buffer ratio,0.06850843630474025,0.2937489957017272,0.1513824990912265,0.19743754371341826,0.21625945871411986,0.2989660704796919
Robust mean abs. dev. (intensity) buffer ratio,0.03330160595265317,0.12045423635525868,0.05294904637680406,0.18869532057674732,0.19773611660820978,0.16011396456010657
Robust median abs. dev. (intensity) buffer ratio,0.03513694342013218,0.12261425841461432,0.05212711229876619,0.18638843009051606,0.1949327673519659,0.16023072245282186
Skewness (intensity) buffer ratio,0.0726523721184248,0.09337702687457436,0.09225128943210029,0.02555366321953624,0.03826172200205767,0.13592196071151755
Std. dev. (intensity) buffer ratio,0.010708771183639072,0.017816133053580565,0.11179313433825208,0.2545824251450064,0.2614114107278396,0.21981313526189886
Sum avg. (texture) buffer ratio,0.1194380854005178,0.2509838959924065,0.15423563506214255,0.14690905821231096,0.16436265897231384,0.26751249090394064
Sum entropy (texture) buffer ratio,0.1065016571333704,0.049629792748729244,0.12057681170926071,0.22727711472794085,0.23479255211292152,0.24854495189612008
Sum var. (texture) buffer ratio,0.07430633564972335,0.02296101234044277,0.13889814219161994,0.1729340301343269,0.1835130057908508,0.18586264281106069
Total energy (intensity) buffer ratio,0.0979252769920069,0.1571586286332066,0.07331032853531647,0.012229315635702925,0.021517306923434416,0.14209941893615194
Var (intensity) buffer ratio,0.0631016843334178,0.022247174884186004,0.13448594889501916,0.18849214466254405,0.19916356202160881,0.19716547288450773
